Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TMV,TMV,TMV,TMV,TMV,TMV
Date,,,,,,
2010-01-04 00:00:00+00:00,769.78466796875,849.75,858.125,842.5,850.25,7552
2010-01-05 00:00:00+00:00,753.9315185546875,832.25,845.0,822.875,844.125,7408
2010-01-06 00:00:00+00:00,786.7702026367188,868.5,871.75,837.875,841.25,9520
2010-01-07 00:00:00+00:00,783.8260498046875,865.25,868.75,854.25,868.25,5216
2010-01-08 00:00:00+00:00,787.10986328125,868.875,881.375,856.75,857.5,8800
2010-01-11 00:00:00+00:00,797.6409912109375,880.5,883.625,865.625,876.875,6056
2010-01-12 00:00:00+00:00,755.0637817382812,833.5,849.125,830.75,839.625,18504
2010-01-13 00:00:00+00:00,781.901123046875,863.125,868.375,835.375,845.25,7200
2010-01-14 00:00:00+00:00,749.62841796875,827.5,865.875,826.125,850.875,10344
2010-01-15 00:00:00+00:00,737.73876953125,814.375,815.25,804.5,812.125,8304
2010-01-19 00:00:00+00:00,740.7959594726562,817.75,830.125,809.375,822.75,6056
2010-01-20 00:00:00+00:00,719.6206665039062,794.375,803.875,791.25,803.375,7648
2010-01-21 00:00:00+00:00,706.4851684570312,779.875,799.25,775.0,798.875,7664
2010-01-22 00:00:00+00:00,710.3352661132812,784.125,791.75,777.875,784.875,5728
2010-01-25 00:00:00+00:00,721.5457153320312,796.5,799.625,787.125,797.75,4800
2010-01-26 00:00:00+00:00,721.6589965820312,796.625,802.0,783.0,783.125,4704
2010-01-27 00:00:00+00:00,719.7339477539062,794.5,800.875,783.375,792.375,7184
2010-01-28 00:00:00+00:00,725.509033203125,800.875,810.25,794.625,808.25,7320
2010-01-29 00:00:00+00:00,704.6734008789062,777.875,804.375,776.25,803.0,6664
2010-02-01 00:00:00+00:00,725.6222534179688,801.0,802.5,783.625,783.625,5184
2010-02-02 00:00:00+00:00,719.7339477539062,794.5,802.75,793.0,798.625,3440
2010-02-03 00:00:00+00:00,745.8916625976562,823.375,823.5,804.75,808.25,7976
2010-02-04 00:00:00+00:00,706.2586059570312,779.625,805.25,778.875,803.625,11720
2010-02-05 00:00:00+00:00,704.220458984375,777.375,795.375,764.125,792.375,12176
2010-02-08 00:00:00+00:00,699.01171875,771.625,783.75,771.625,777.875,6688
2010-02-09 00:00:00+00:00,722.33837890625,797.375,798.5,768.75,780.125,9312
2010-02-10 00:00:00+00:00,742.9475708007812,820.125,824.375,785.25,792.375,8064
2010-02-11 00:00:00+00:00,755.6300659179688,834.125,848.375,821.5,823.0,11928
2010-02-12 00:00:00+00:00,745.3255004882812,822.75,830.0,817.375,819.875,3096
2010-02-16 00:00:00+00:00,738.4180297851562,815.125,834.0,813.75,833.875,3664
2010-02-17 00:00:00+00:00,765.481689453125,845.0,851.0,824.25,831.625,8128
2010-02-18 00:00:00+00:00,774.76708984375,855.25,870.0,840.125,841.875,11240
2010-02-19 00:00:00+00:00,762.7640380859375,842.0,857.5,839.375,848.125,14952
2010-02-22 00:00:00+00:00,770.0110473632812,850.0,855.375,846.875,850.375,5784
2010-02-23 00:00:00+00:00,734.5680541992188,810.875,845.75,809.25,845.125,9744
2010-02-24 00:00:00+00:00,730.491455078125,806.375,818.25,800.0,808.375,6824
2010-02-25 00:00:00+00:00,716.2236328125,790.625,798.25,789.75,792.375,6200
2010-02-26 00:00:00+00:00,707.50439453125,781.0,788.75,768.5,783.875,11088
2010-03-01 00:00:00+00:00,705.352783203125,778.625,791.375,774.625,781.375,5008
2010-03-02 00:00:00+00:00,708.7499389648438,782.375,795.75,781.0,792.625,5016
2010-03-03 00:00:00+00:00,713.845703125,788.0,797.375,787.625,789.75,4200
2010-03-04 00:00:00+00:00,705.1264038085938,778.375,793.5,771.25,791.375,4568
2010-03-05 00:00:00+00:00,735.1342163085938,811.5,814.125,793.5,793.5,8496
2010-03-08 00:00:00+00:00,744.8724975585938,822.25,824.625,817.5,818.875,7088
2010-03-09 00:00:00+00:00,743.6268920898438,820.875,832.25,815.625,817.0,4504
2010-03-10 00:00:00+00:00,747.929931640625,825.625,838.5,824.125,831.0,5640
2010-03-11 00:00:00+00:00,740.5696411132812,817.5,833.125,810.5,832.625,5496
2010-03-12 00:00:00+00:00,726.754638671875,802.25,821.875,798.75,821.875,8824
2010-03-15 00:00:00+00:00,727.8870849609375,803.5,812.0,801.375,803.875,3304
2010-03-16 00:00:00+00:00,710.9013061523438,784.75,802.125,783.25,802.125,12472
2010-03-17 00:00:00+00:00,701.9557495117188,774.875,785.25,774.875,777.625,13928
2010-03-18 00:00:00+00:00,709.2029418945312,782.875,786.75,773.125,774.5,6024
